id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,3.0,12,https://www.paramountplus.com/shows/dexter/video/_1ssUsDXSuoUUyItv1b5sLDoihEEC6v0/dexter-dexter?searchReferral=,Paramount+,18,'us'
tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,16,https://www.paramountplus.com/shows/south-park/video/sKBdY6WpPnUgNfpg2T9iCVRP3KNqbHxn/south-park-cartman-gets-an-anal-probe?searchReferral=,Paramount+,16,'us'
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://www.paramountplus.com/shows/avatar-the-last-airbender/video/tgZjahkueAbb4Vx8sKXzc3_93fAqgzNO/avatar-the-last-airbender-the-boy-in-the-iceberg?searchReferral=,Paramount+,6,"'us', 'kr'"
tt4236770,Yellowstone,tvSeries,"Drama, Western",8.6,275341.0,2018.0,ts75269,4.0,10,https://www.paramountplus.com/shows/yellowstone/video/vPXPeC4posOemTL_KvmcbAPhi6j_s7_f/yellowstone-daybreak?searchReferral=,Paramount+,16,'us'
tt0098936,Twin Peaks,tvSeries,"Crime, Drama, Mystery",8.7,231687.0,1990.0,ts86729,3.0,tous publics,https://www.paramountplus.com/shows/twin_peaks/video/qz6_KVVXyRiODjJtNJeD_ebTxxa_m1QV/twin-peaks-pilot?searchReferral=,Paramount+,16,'us'
tt0452046,Criminal Minds,tvSeries,"Crime, Drama, Mystery",8.1,230363.0,2005.0,ts6495,6.0,12,https://www.paramountplus.com/shows/criminal_minds/video/MbPAzYEJevgNuw_axPjSVCHrA8XqKPVX/criminal-minds-extreme-aggressor?searchReferral=,Paramount+,18,'us'
tt0904208,Californication,tvSeries,"Comedy, Drama",8.3,192037.0,2007.0,ts9581,3.0,16,https://www.paramountplus.com/shows/californication/video/xmhhXUgztmooaxwej_z2KKy4p7uS2_7B/californication-pilot?searchReferral=,Paramount+,18,'us'
tt0364845,NCIS,tvSeries,"Action, Crime, Drama",7.8,170888.0,2003.0,ts22337,5.0,10,https://www.paramountplus.com/shows/ncis/video/p19MooNZLkoady0kdEk7UhT26iCI3aPw/ncis-twenty-klicks?searchReferral=,Paramount+,16,'us'
tt1695360,The Legend of Korra,tvSeries,"Action, Adventure, Animation",8.3,145092.0,2012.0,ts20457,6.0,tous publics,https://www.paramountplus.com/shows/the-legend-of-korra/video/ou_dQPFQrT4674R8KWia8Rk_6sNaTFRw/the-legend-of-korra-welcome-to-republic-city?searchReferral=,Paramount+,12,"'us', 'kr', 'jp'"
tt0092455,Star Trek: The Next Generation,tvSeries,"Action, Adventure, Drama",8.7,143781.0,1987.0,ts22504,3.0,tous publics::(dvd rating),https://www.paramountplus.com/shows/star_trek_the_next_generation/video/5ooZfmzcrQ43cULFJQ8e_UVV7dTAg_r6/star-trek-the-next-generation-encounter-at-farpoint-part-1?searchReferral=,Paramount+,16,'us'
tt13991232,1883,tvMiniSeries,"Drama, Western",8.7,142856.0,2021.0,ts272606,5.0,16,https://www.paramountplus.com/shows/1883/video/VnxVyEPcMF6ZqMBQp6u71L8OCE42_XWS/1883-1883?searchReferral=,Paramount+,16,'us'
tt9813792,From,tvSeries,"Drama, Horror, Mystery",7.8,142780.0,2022.0,ts287292,4.0,,https://www.paramountplus.com/shows/from/video/8cXwY8GDHp3Iyd9QSTqmLlI8qPMxZ9qK/from-long-day-s-journey-into-night?searchReferral=,Paramount+,16,'us'
tt5171438,Star Trek: Discovery,tvSeries,"Action, Adventure, Drama",7.0,142353.0,2017.0,ts41351,4.0,16,https://www.paramountplus.com/shows/star-trek-discovery/video/qMXc_KQv73LYnrDAL6v6lUQ73JgRJsMr/star-trek-discovery-the-vulcan-hello?searchReferral=,Paramount+,16,'us'
tt0348914,Deadwood,tvSeries,"Crime, Drama, History",8.6,123671.0,2004.0,ts13023,2.0,tous publics::(dvd rating),https://www.paramountplus.com/shows/deadwood/video/k_Im76wQaHjkIb6lK3_0os_t2m1_pXow/deadwood-deadwood?searchReferral=,Paramount+,16,'us'
tt2191671,Elementary,tvSeries,"Crime, Drama, Mystery",7.9,123306.0,2012.0,ts3979,4.0,10,https://www.paramountplus.com/shows/elementary/video/m99x_671kZm3nAUwACgxud8D_rfL_JpH/elementary-pilot?searchReferral=,Paramount+,16,'us'
